class_name,images
Orange_Haunglongbing_Greening,16521
Tomato_Yellow_Curl_Virus,16071
Soybean_Healthy,15270
Tomato_Bacterial_Spot,8196
Tomato_Late_Blight,7244
Peach_Bacterial_Spot,6891
Tomato_Healthy,6651
Squash_Powdery_Mildew,5635
Tomato_Septoria_Spot,5464
Tomato_Spider_Mites_Two_Spotted_Spider_Mite,5028
Tomato_Early_Blight,5013
Apple_Healthy,4935
Tomato_Mold,4857
Blueberry_Healthy,4506
Pepper_Healthy,4434
Tomato_Target_Spot,4212
Grape_Esca_Black_Measles,4150
Grape_Black_Rot,3604
Corn_Common_Rust,3576
Corn_Healthy,3486
Strawberry_Scorch,3327
Grape_Blight_Isariopsis_Spot,3228
Cherry_Powdery_Mildew,3156
Potato_Early_Blight,3116
Potato_Late_Blight,3105
Pepper_Bacterial_Spot,2991
Corn_Northern_Blight,2955
Cherry_Healthy,2562
Unknown_15,2013
Unknown_35,2000
Apple_Scab,1984
Grape_Unknown,1927
Tomato_Miner,1897
Tomato_Curl,1893
Apple_Black_Rot,1863
Unknown_24,1784
Walnut_Blotch,1693
Tomato_Septoria,1599
Corn_Cercospora_Spot_Gray_Spot,1539
Grape_Powdery_Mildew,1509
Cherry_Scorch,1383
Wheat_Smut,1380
Wheat_Yellow_Rust,1371
Strawberry_Healthy,1368
Wheat_Brown_Rust,1341
Apple_Brown_Spot,1325
Grape_Healthy,1269
Grape_Anthracnose,1245
Cherry_Purple_Spot,1227
Wheat_Septoria,1214
Cherry_Brown_Spot,1210
Tomato_Mosaic_Virus,1173
Wheat_Mildew,1151
Walnut_Shot_Hole,1147
Pear_Black_Spot,1130
Bean_Unknown,1123
Apple_Unknown,1121
Raspberry_Healthy,1113
Peach_Healthy,1080
Wheat_Healthy,1070
Grape_Shot_Hole,1065
Apricot_Shot_Hole,1040
Unknown_Lokat_Spot,990
Wheat_Aphid,973
Bean_Fungal,970
Pear_Unknown,955
Fig_Blight,954
Wheat_Leaf_Blight,912
Walnut_Unknown,890
Wheat_Mite,870
Wheat_Tan_Spot,840
Unknown_Persimmons_Brown_Spot,829
Unknown_16,826
Apple_Cedar_Rust,825
Apricot_Unknown,815
Walnut_Anthracnose,810
Grape_Brown_Spot,800
Grape_Downy_Mildew,779
Unknown_28,760
Fig_Unknown,750
Corn_Gray_Spot,728
Wheat_Blast,717
Corn_Unknown,710
Wheat_Common_Root_Rot,684
Cherry_Unknown,682
Wheat_Fusarium_Head_Blight,681
Unknown_30,660
Unknown_25,649
Wheat_Black_Rust,642
Unknown_33,640
Tomato_Spider_Mites,635
Unknown_Lokat,630
Grape_Mites,625
Fig_Rust,625
Bean_Rust,624
Unknown_32,587
Apple_Black_Spot,571
Unknown_37,560
Unknown_3,554
Cherry_Shot_Hole,550
Unknown_19,544
Corn_Holcus_Spot,540
Fig_Brown_Spot,535
Tomato_Verticillium_Wilt,525
Bean_Shot_Hole,490
Walnut_Gall_Mite,490
Pear_Fire_Blight,475
Unknown_34,468
Unknown_4,468
Unknown_12,465
Potato_Healthy,456
Unknown_10,433
Unknown_8,432
Corn_Fungal,415
Unknown_5,409
Unknown_11,407
Tomato_Fusarium_Wilt,407
Apricot_Blight,402
Unknown_26,380
Unknown_13,379
Unknown_20,377
Unknown_21,372
Unknown_9,354
Unknown_6,334
Unknown_29,331
Wheat_Stem_Fly,304
Unknown_18,287
Unknown_31,286
Unknown_23,224
Unknown_0,221
Unknown_1,199
Corn_Blight,188
Unknown_7,187
Unknown_27,184
Unknown_14,146
Unknown_36,143
Raspberry_Unknown,119
Corn_Rust,116
Blueberry_Unknown,115
Peach_Unknown,111
Unknown_2,99
Strawberry_Unknown,96
Unknown_17,95
Apple_Rust,88
Tomato_Yellow_Virus,76
Pepper_Spot,71
Soybean_Unknown,65
Tomato_Unknown,63
Pepper_Unknown,62
Unknown_22,41
Tomato_Two_Spotted_Spider_Mites,2
Unknown_Plantdoc,1
Unknown_Generated_For_Paper,1
