disease,images
Healthy,48200
Bacterial_Spot,18078
Haunglongbing_Greening,16521
Yellow_Curl_Virus,16071
Late_Blight,10349
Powdery_Mildew,10300
Unknown,9604
Early_Blight,8129
Black_Rot,5467
Septoria_Spot,5464
Spider_Mites_Two_Spotted_Spider_Mite,5028
Mold,4857
Scorch,4710
Shot_Hole,4292
Target_Spot,4212
Esca_Black_Measles,4150
Brown_Spot,3870
Common_Rust,3576
Blight_Isariopsis_Spot,3228
Northern_Blight,2955
Septoria,2813
Anthracnose,2055
15,2013
35,2000
Scab,1984
Miner,1897
Curl,1893
24,1784
Black_Spot,1701
Blotch,1693
Blight,1544
Cercospora_Spot_Gray_Spot,1539
Rust,1453
Fungal,1385
Smut,1380
Yellow_Rust,1371
Brown_Rust,1341
Purple_Spot,1227
Mosaic_Virus,1173
Mildew,1151
Lokat_Spot,990
Aphid,973
Leaf_Blight,912
Mite,870
Tan_Spot,840
Persimmons_Brown_Spot,829
16,826
Cedar_Rust,825
Downy_Mildew,779
28,760
Gray_Spot,728
Blast,717
Common_Root_Rot,684
Fusarium_Head_Blight,681
30,660
25,649
Black_Rust,642
33,640
Spider_Mites,635
Lokat,630
Mites,625
32,587
37,560
3,554
19,544
Holcus_Spot,540
Verticillium_Wilt,525
Gall_Mite,490
Fire_Blight,475
34,468
4,468
12,465
10,433
8,432
5,409
Fusarium_Wilt,407
11,407
26,380
13,379
20,377
21,372
9,354
6,334
29,331
Stem_Fly,304
18,287
31,286
23,224
0,221
1,199
7,187
27,184
14,146
36,143
2,99
17,95
Yellow_Virus,76
Spot,71
22,41
Two_Spotted_Spider_Mites,2
Generated_For_Paper,1
Plantdoc,1
