epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_sec
1,2.155586,0.661485,0.562693,1.807523,0.723212,0.601727,0.00100000,123.85
2,1.817288,0.739706,0.641875,1.706731,0.746073,0.616990,0.00090460,121.28
3,1.702696,0.772289,0.670313,1.624901,0.804488,0.659998,0.00065485,122.06
4,1.620107,0.803118,0.692055,1.577341,0.813885,0.669758,0.00034615,121.43
5,1.566923,0.825687,0.705132,1.555234,0.820407,0.683372,0.00009640,122.95
6,1.738054,0.759540,0.664162,1.655968,0.790954,0.643229,0.00100000,122.47
7,1.694319,0.773446,0.673596,1.644925,0.774194,0.647848,0.00097555,120.93
8,1.661833,0.782890,0.685526,1.619161,0.784432,0.655540,0.00090460,122.07
9,1.628567,0.794429,0.696284,1.605232,0.782048,0.652245,0.00079410,122.34
10,1.601060,0.804284,0.706649,1.586132,0.789832,0.657395,0.00065485,119.47
11,1.569722,0.814306,0.711692,1.570521,0.817602,0.676549,0.00050050,121.33
12,1.543804,0.826100,0.721314,1.551030,0.817812,0.680726,0.00034615,121.94
